1.841675565978383444e-01 1.906884772848812748e+00 4.912764270316560378e+00 3.116243643289027787e+01 1.162179884589085788e+01
5.644951998799918602e-02 5.946644528032830612e-01 1.912750964889665184e+01 9.506221910035414169e+00 1.476076849913665789e+01
1.824375875162942695e-01 1.889926770312926330e+00 3.305757458356191592e+01 4.188432555981316696e+00 1.654322401574380308e+01
7.874245744300534255e-02 1.592825079575956426e+00 1.284549581663764428e+01 2.917139879384673762e+01 2.702336781097176654e+01
1.846003227698769095e-02 9.072014037514158913e-01 1.025400444311481252e+01 3.322903768308567862e+01 5.620541446595782809e+00
1.496082756280555370e-01 1.275763497242529798e+00 1.527068332665123052e+01 2.191182798176898316e+01 2.258033780662296408e+01
4.049269410978281747e-02 9.012533672090558001e-01 3.926139177280784054e+01 2.340145323964606661e+01 1.793450423600736343e+01
1.662266434784383240e-02 1.652948162757722050e+00 2.212667622965135905e+01 2.827625295803840544e+01 2.483773023584389250e+01
2.122324811747848886e-02 5.633595207948428607e-01 1.379589134778240656e+01 1.081372107342934186e+01 2.113574515332690851e+01
4.987864992819929233e-02 1.046386736151454722e+00 2.839755865670948509e+01 1.660510380211252723e+01 2.872133891025521280e+01
1.159561499562794390e-01 1.628491384744418902e+00 1.433008591260341191e+01 2.730860756935037514e+01 7.539258588993769550e+00
1.645865914695954502e-01 1.723147380401227391e+00 3.378322508336077590e+01 5.455196457952990130e+00 5.387316108310608698e+00
1.298106614089635513e-01 8.020309528007303346e-01 2.812288101196218193e+01 5.759122950651229367e+00 1.052954125028020194e+01
1.215472023782976363e-01 7.575015602880970089e-01 1.155298398325311116e+00 9.867603188728828911e+00 1.686269838766862961e+01
1.538461744065641734e-01 5.250017467046452779e-01 3.120037779901620212e+01 1.428143398597466351e+01 1.908128859458009430e+01
1.588391758743785409e-01 1.827145803230843191e+00 1.137657283504298888e+01 3.780205688535409081e+01 2.791884892838292842e+01
4.841652459785495549e-02 1.350509998244543874e+00 3.342381592495688380e+01 3.478717835277065973e+01 8.091572891528526768e+00
1.894947869765230553e-01 1.067210601143649740e+00 2.321682599073764308e+01 2.150487965246166411e+01 5.225949495035878023e+00
8.515797360012297701e-02 1.283125690999024071e+00 1.825749695736672606e+01 7.431256823045202964e+00 2.843753442543024335e+01
1.454197600791767853e-01 1.328142297541073269e+00 1.609001733276715385e+01 3.879779806459408320e+01 1.574503123657617465e+01
6.987306811926731476e-02 1.371570469571844253e+00 1.897353627736016790e+01 1.029670350031144110e+01 2.996398174859285390e+01
8.296872497763305154e-02 1.784267571860031820e+00 3.630401439868964530e+01 1.276551533412689388e+01 1.129103153112008506e+01
2.401126741554280089e-02 9.942538237662190692e-01 3.889251863603679027e+01 3.830285200586796890e+01 1.045449312531167507e+01
1.278949563211717877e-01 5.068461866988566156e-01 1.749966551193294606e+01 3.948758797450152969e+01 1.213590119578086401e+01
